"","x"
"1",0.00138003742220816
"2",0.000724549857679426
"3",0.000584899789700682
"4",0.000474189921636877
"5",0.000182563604988237
"6",0.000138572199924706
"7",7.86340709263238e-05
"8",2.49674678976143e-05
"9",1.69091870841567e-05
"10",2.3152025799575e-06
"11",-4.2877084227638e-20
