t,Value,Expiry
41743.00,92.28,43553.00
41744.00,92.29,43553.00
41745.00,91.82,43553.00
41746.00,91.66,43553.00
41750.00,91.89,43553.00
41751.00,91.92,43553.00
41752.00,92.04,43553.00
41753.00,91.85,43553.00
41754.00,91.88,43553.00
41757.00,92.26,43553.00
41758.00,92.30,43553.00
41759.00,92.34,43553.00
41760.00,92.54,43553.00
41761.00,92.45,43553.00
41764.00,92.48,43553.00
41765.00,92.55,43553.00
41766.00,92.80,43553.00
41767.00,92.87,43553.00
41768.00,92.55,43553.00
41771.00,92.77,43553.00
41772.00,92.86,43553.00
41773.00,92.86,43553.00
41774.00,93.35,43553.00
41775.00,93.57,43553.00
41778.00,93.29,43553.00
41779.00,93.52,43553.00
41780.00,93.40,43553.00
41781.00,93.83,43553.00
41782.00,94.06,43553.00
41785.00,94.19,43553.00
41786.00,94.20,43553.00
41787.00,94.35,43553.00
41788.00,94.03,43553.00
41789.00,94.41,43553.00
41792.00,94.58,43553.00
41793.00,94.50,43553.00
41794.00,94.24,43553.00
41795.00,94.69,43553.00
41796.00,94.21,43553.00
41799.00,94.54,43553.00
41800.00,94.73,43553.00
41801.00,94.96,43553.00
41802.00,95.10,43553.00
41803.00,94.90,43553.00
41806.00,95.99,43553.00
41807.00,97.36,43553.00
41808.00,97.78,43553.00
41809.00,98.15,43553.00
41810.00,98.21,43553.00
41813.00,98.61,43553.00
41814.00,99.27,43553.00
41815.00,99.07,43553.00
41816.00,98.45,43553.00
41817.00,98.71,43553.00
41820.00,98.41,43553.00
41821.00,98.92,43553.00
41822.00,98.90,43553.00
41823.00,98.94,43553.00
41824.00,98.69,43553.00
41827.00,98.94,43553.00
41828.00,98.29,43553.00
41829.00,98.41,43553.00
41830.00,98.31,43553.00
41831.00,98.44,43553.00
41834.00,99.40,43553.00
41835.00,98.79,43553.00
41836.00,98.11,43553.00
41837.00,97.23,43553.00
41838.00,96.62,43553.00
41841.00,98.33,43553.00
41842.00,97.58,43553.00
41843.00,98.36,43553.00
41844.00,98.17,43553.00
41845.00,98.25,43553.00
41848.00,97.96,43553.00
41849.00,98.62,43553.00
41850.00,98.88,43553.00
41851.00,98.62,43553.00
41852.00,99.06,43553.00
41855.00,98.73,43553.00
41856.00,98.56,43553.00
41857.00,98.59,43553.00
41858.00,99.32,43553.00
41859.00,98.82,43553.00
41862.00,98.82,43553.00
41863.00,98.48,43553.00
41864.00,99.02,43553.00
41865.00,98.11,43553.00
41866.00,98.59,43553.00
41869.00,98.35,43553.00
41870.00,98.18,43553.00
41871.00,97.83,43553.00
41872.00,97.57,43553.00
41873.00,97.54,43553.00
41876.00,97.66,43553.00
41877.00,97.34,43553.00
41878.00,97.21,43553.00
41879.00,96.38,43553.00
41880.00,96.28,43553.00
41883.00,96.21,43553.00
41884.00,95.84,43553.00
41885.00,96.39,43553.00
41886.00,96.21,43553.00
41887.00,96.22,43553.00
41890.00,96.81,43553.00
41891.00,97.38,43553.00
41892.00,97.90,43553.00
41893.00,96.93,43553.00
41894.00,96.71,43553.00
41897.00,96.66,43553.00
41898.00,96.81,43553.00
41899.00,97.05,43553.00
41900.00,97.18,43553.00
41901.00,97.05,43553.00
41904.00,97.09,43553.00
41905.00,96.73,43553.00
41906.00,96.46,43553.00
41907.00,96.23,43553.00
41908.00,95.17,43553.00
41911.00,94.24,43553.00
41912.00,93.55,43553.00
41913.00,93.68,43553.00
41914.00,93.09,43553.00
41915.00,92.87,43553.00
41918.00,93.74,43553.00
41919.00,93.52,43553.00
41920.00,93.73,43553.00
41921.00,93.81,43553.00
41922.00,94.14,43553.00
41925.00,94.53,43553.00
41926.00,94.21,43553.00
41927.00,92.68,43553.00
41928.00,91.59,43553.00
41929.00,91.95,43553.00
41932.00,91.04,43553.00
41933.00,89.55,43553.00
41934.00,89.07,43553.00
41935.00,89.95,43553.00
41936.00,90.56,43553.00
41939.00,90.92,43553.00
41940.00,91.29,43553.00
41941.00,91.79,43553.00
41942.00,91.52,43553.00
41943.00,91.73,43553.00
41946.00,91.42,43553.00
41947.00,91.24,43553.00
41948.00,90.77,43553.00
41949.00,91.43,43553.00
41950.00,91.06,43553.00
