t,Value,Expiry
41891,97.38,43553
41892,97.9,43553
41893,96.93,43553
41894,96.71,43553
41897,96.66,43553
41898,96.81,43553
41899,97.05,43553
41900,97.18,43553
41901,97.05,43553
41904,97.09,43553
41905,96.73,43553
41906,96.46,43553
41907,96.23,43553
41908,95.17,43553
41911,94.24,43553
41912,93.55,43553
41913,93.68,43553
41914,93.09,43553
41915,92.87,43553
41918,93.74,43553
41919,93.52,43553
41920,93.73,43553
41921,93.81,43553
41922,94.14,43553
41925,94.53,43553
41926,94.21,43553
41927,92.68,43553
41928,91.59,43553
41929,91.95,43553
41932,91.04,43553
41933,89.55,43553
41934,89.07,43553
41935,89.95,43553
41936,90.56,43553
41939,90.92,43553
41940,91.29,43553
41941,91.79,43553
41942,91.52,43553
41943,91.73,43553
41946,91.42,43553
41947,91.24,43553
41948,90.77,43553
41949,91.43,43553
41950,91.06,43553
41953,90.64,43553
41954,90.88,43553
41955,90.42,43553
41956,88.97,43553
41957,89.9,43553
41960,89.61,43553
41961,89.05,43553
41962,88.73,43553
41963,88.77,43553
41964,89.94,43553
41967,89.34,43553
41968,88.92,43553
41969,88.48,43553
41970,86.15,43553
41971,85.57,43553
41974,87.37,43553
41975,86.03,43553
41976,85.55,43553
41977,84.3,43553
41978,83.38,43553
41981,81.12,43553
41982,80.96,43553
41983,78.97,43553
41984,78.55,43553
41985,76.69,43553
41988,75.51,43553
41989,73.53,43553
41990,74.06,43553
41991,73.89,43553
41992,76.59,43553
41995,76.69,43553
41996,78.25,43553
41997,78.32,43553
41999,77.8,43553
42002,77.25,43553
42003,77.44,43553
42004,77.31,43553
42006,76.65,43553
42009,75.68,43553
42010,74.02,43553
42011,72.88,43553
42012,72.41,43553
42013,73.2,43553
42016,71.85,43553
42017,71.9,43553
42018,72.47,43553
42019,71.11,43553
42020,72.29,43553
42023,71.93,43553
42024,71.3,43553
42025,71.67,43553
42026,71.08,43553
42027,71.72,43553
42030,71.51,43553
42031,72.37,43553
42032,71.81,43553
42033,72.35,43553
42034,74.37,43553
42037,75.02,43553
42038,77.06,43553
42039,75.46,43553
42040,76.68,43553
42041,76.69,43553
42044,77.04,43553
42045,76.54,43553
42046,76.24,43553
42047,77.49,43553
42048,76.95,43553
42051,76.94,43553
42052,77.27,43553
42053,76.54,43553
42054,76,43553
42055,76.63,43553
42058,76.43,43553
42059,76.88,43553
42060,77.69,43553
42061,77.29,43553
42062,77.64,43553
42065,76.4,43553
42066,77.08,43553
42067,76,43553
42068,75.22,43553
42069,74.41,43553
42072,73.88,43553
42073,73.24,43553
42074,73.61,43553
42075,73.7,43553
42076,72.73,43553
42079,73.01,43553
42080,72.31,43553
42081,73.64,43553
42082,73.08,43553
42083,73.54,43553
42086,73.9,43553
42087,72.95,43553
42088,73.13,43553
42089,73.36,43553
42090,71.58,43553
42093,72.31,43553
42094,71.98,43553
42095,72.96,43553
42096,71.9,43553
42100,72.63,43553
42101,71.47,43553
42102,70.46,43553
42103,71.56,43553
42104,72.23,43553
42107,71.84,43553
42108,71.85,43553
42109,73.63,43553
42110,73.4,43553
42111,72.94,43553
42114,73.23,43553
42115,73.28,43553
42116,73.9,43553
42117,74.98,43553
42118,74.21,43553
42121,74.19,43553
42122,74.07,43553
42123,74.55,43553
42124,74.41,43553
42125,74.48,43553
42128,74.87,43553
42129,75.5,43553
42130,75.43,43553
42131,74.85,43553
42132,75.14,43553
42135,75.06,43553
42136,75.11,43553
42137,75.41,43553
42138,75.91,43553
42139,76,43553
42142,75.47,43553
42143,74.15,43553
42144,74.6,43553
42145,74.85,43553
42146,74.46,43553
42149,74.63,43553
42150,74.1,43553
42151,73.11,43553
42152,73.49,43553
42153,74.26,43553
42156,73.55,43553
42157,74.38,43553
42158,73.84,43553
42159,72.9,43553
42160,73.97,43553
42163,73.38,43553
42164,74.32,43553
42165,75.14,43553
42166,74.45,43553
42167,73.48,43553
42170,73.86,43553
42171,74,43553
42172,74.1,43553
42173,74.29,43553
42174,73.39,43553
42177,73.94,43553
42178,74.05,43553
42179,73.57,43553
42180,73.17,43553
42181,73.1,43553
42184,72.63,43553
42185,72.47,43553
42186,72.08,43553
42187,71.85,43553
42188,70.9,43553
42191,68.32,43553
42192,68.54,43553
42193,68.82,43553
42194,69.93,43553
42195,70.57,43553
42198,70.48,43553
42199,70.35,43553
42200,69.37,43553
42201,69.07,43553
42202,68.79,43553
42205,68.76,43553
42206,69.62,43553
42207,68.87,43553
42208,68.38,43553
42209,67.58,43553
42212,67.66,43553
42213,67.71,43553
42214,67.71,43553
42215,67.45,43553
42216,67.03,43553
42219,64.99,43553
42220,65.11,43553
42221,64.64,43553
42222,64.96,43553
42223,64.81,43553
42226,65.72,43553
42227,65.08,43553
42228,65.57,43553
42229,65.57,43553
42230,65.63,43553
42233,65.64,43553
42234,65.05,43553
42235,63.64,43553
42236,62.44,43553
42237,60.81,43553
42240,59.35,43553
42241,60,43553
42242,60.09,43553
42243,63.56,43553
42244,65.43,43553
42247,68.11,43553
42248,63.74,43553
42249,64.64,43553
42250,64.68,43553
42251,63.37,43553
42254,62.09,43553
42255,63.85,43553
42256,62.77,43553
42257,64.05,43553
42258,63.54,43553
42261,62.22,43553
42262,62.42,43553
42263,63.29,43553
42264,62.75,43553
42265,61.42,43553
42268,62.64,43553
42269,63.12,43553
42270,61.84,43553
42271,62.01,43553
42272,62.19,43553
42275,61.15,43553
42276,61.42,43553
42277,61.46,43553
42278,60.6,43553
42279,60.76,43553
42282,61.83,43553
42283,63.5,43553
42284,63.36,43553
42285,63.44,43553
42286,63.64,43553
42289,62.43,43553
42290,62.57,43553
42291,62.46,43553
42292,62.41,43553
42293,62.95,43553
42296,62.02,43553
42297,62.36,43553
42298,61.87,43553
42299,62.46,43553
42300,61.98,43553
42303,61.84,43553
42304,61.36,43553
42305,62.85,43553
42306,62.55,43553
42307,63.13,43553
42310,62.85,43553
42311,63.74,43553
42312,62.5,43553
42313,61.79,43553
42314,61.41,43553
42317,61.41,43553
42318,61.68,43553
42319,60.73,43553
42320,60.3,43553
42321,60.06,43553
42324,60.19,43553
42325,59.21,43553
42326,59.44,43553
42327,59.06,43553
42328,58.95,43553
42331,59.16,43553
42332,60.45,43553
42333,60.7,43553
42334,60.24,43553
42335,59.55,43553
42338,59.11,43553
42339,59.09,43553
42340,58.6,43553
42341,59.25,43553
42342,59,43553
42345,57.95,43553
42346,57.83,43553
42347,57.92,43553
42348,57.89,43553
42349,57.08,43553
42352,56.06,43553
42353,56.15,43553
42354,55.38,43553
42355,55.09,43553
42356,54.78,43553
42359,54.04,43553
42360,53.15,43553
42361,53.67,43553
42362,54.35,43553
42366,53.81,43553
